"role_id","role_title","sector","proposed_soc_code","matched_ashe_description","confidence","reason"
"b5f6748d-3461-4c8c-9f6d-e60fc8a4993e","Quantity Surveyor","Construction & Trades","2453","Quantity surveyors","high","Exact title match"
"c4f412c6-c9eb-4da6-82d2-911867c74116","Site Manager","Construction & Trades","1122","Production managers and directors in construction","medium","Semantic match: site manager is a construction management role; leadership and decision-making"
"a1eb21e1-8515-49a3-8f7f-c93076f83025","Smart Building Technician","Construction & Trades","3112","Electrical and electronics technicians","medium","Semantic match: smart-building systems (HVAC/lighting/energy) are electrical/electronic installations"
"3877f5af-6c49-41a7-a58a-71927351dfd0","Sustainability / Energy Modelling Analyst","Construction & Trades","2129","Engineering professionals n.e.c.","medium","Semantic match: building energy and carbon modelling is an engineering discipline not elsewhere classified"
"7874798f-f9a6-4dc1-9da7-cb12c7c55878","AI Content Strategist","Creative Arts & Design","3554","Marketing associate professionals","medium","Semantic match: content strategy across channels is a marketing function"
"88bd88c6-771d-40da-9d16-c16ccf6db13e","AI Creative Director","Creative Arts & Design","2494","Advertising accounts managers and creative directors","high","Near-exact match: SOC description explicitly includes creative directors"
"c1b4a2b2-fe5c-4676-b111-4293c271e74b","AI Ethics and Copyright Specialist","Creative Arts & Design","2419","Legal professionals n.e.c.","medium","Semantic match: copyright and attribution work is a legal specialism"
"e7b53862-1aef-4bb0-8c80-aab853e08ce8","CreaTech Specialist","Creative Arts & Design","2139","Information technology professionals n.e.c.","low","Closest SOC: novel bridging role between creative and technology; IT professionals n.e.c. is nearest"
"30c66607-7c36-46c2-81f2-b6eb6a9179ac","Graphic Designer","Creative Arts & Design","2142","Graphic and multimedia designers","high","Near-exact match: graphic designer directly within SOC description"
"d3172dd3-f51b-4d15-91fb-afedf99280c3","Journalist / Content Writer","Creative Arts & Design","2492","Newspaper and periodical journalists and reporters","medium","Semantic match: journalism component maps well; content writing also fits 3412 (Authors/writers)"
"988182e2-2968-4a79-abf3-6544d2b88358","Marketing Content Creator","Creative Arts & Design","3554","Marketing associate professionals","medium","Semantic match: content creation for marketing is a marketing associate function"
"4a5c2390-70ed-442a-b46c-9f8803845e8e","Photographer","Creative Arts & Design","3417","Photographers, audio-visual and broadcasting equipment operators","high","Near-exact match: SOC description explicitly includes photographers"
"2c1db102-ae8c-46c6-8664-efe2c19f7a14","Prompt Artist / Designer","Creative Arts & Design","2142","Graphic and multimedia designers","low","Closest SOC: novel AI-visual design role (post-2022); graphic/multimedia designers is nearest"
"48b1f1a7-9ae8-4ba3-8138-e76bb5b28515","UX Designer","Creative Arts & Design","2141","Web design professionals","medium","Semantic match: UX design closely overlaps with web design professionals"
"a30e605a-07bc-42b9-a860-57db6fa711f0","Video Editor","Creative Arts & Design","3417","Photographers, audio-visual and broadcasting equipment operators","medium","Semantic match: video editing is audio-visual work; shares SOC with Photographer and Broadcast Technician"
"4ba0a89f-99c4-4488-992e-07d2fa3a3217","AI Literacy Curriculum Developer","Education & Teaching","2319","Teaching professionals n.e.c.","medium","Semantic match: curriculum development is a teaching professional function not elsewhere classified"
"ee5b1c41-94eb-4f0f-b5d9-d3cb2f08a0c5","Digital Learning Designer","Education & Teaching","2319","Teaching professionals n.e.c.","medium","Semantic match: designing digital learning experiences blends pedagogy with technology"
"5ae85890-2a28-488c-a0b9-d1dfb39dbdb9","Educational Psychologist","Education & Teaching","2226","Other psychologists","medium","Semantic match: educational psychologist is a distinct specialism within the broader psychology field"
"1c4e0c82-3551-46d2-955f-bac192a775b3","Learning Technologist","Education & Teaching","2319","Teaching professionals n.e.c.","medium","Semantic match: evaluating and implementing AI tools in schools is a teaching technology role"
"ab4a99fd-4fef-4dcd-8bc9-7e9d7d9fbf0f","Nursery Practitioner / Childcare Worker","Education & Teaching","3232","Early education and childcare practitioners","high","Near-exact match: nursery practitioner maps directly to early education and childcare practitioners"
"6d1a648c-d256-45e0-8657-faea1f2f7eff","Online / AI-Assisted Tutoring Coordinator","Education & Teaching","2319","Teaching professionals n.e.c.","low","Closest SOC: novel coordinating role for AI tutoring programmes; teaching professionals n.e.c. is nearest"
"b3c4d46b-ea4f-40d0-b709-761731f70dc5","Teacher (Primary/Secondary)","Education & Teaching","2314","Primary education teaching professionals","medium","Combined role: average of 2313 (secondary) and 2314 (primary) salary figures. salary_needs_verification=true. Note: Primary/Secondary combined role — consider splitting into separate roles in future session."
"4e5939dd-1f69-4885-bd46-0392aee97b22","Teaching Assistant","Education & Teaching","6112","Teaching assistants","high","Exact title match"
"8cbe6ea2-f187-40a9-ac0e-9fa8058e66b1","AI Quality Systems Analyst","Engineering & Manufacturing","2481","Quality control and planning engineers","medium","Semantic match: AI-driven quality control systems is a quality engineering function"
"3961010f-e446-4c4f-9892-c4c9d4041a3f","CNC Operator / Programmer","Engineering & Manufacturing","5221","Metal machining setters and setter-operators","medium","Semantic match: CNC operation/programming is the modern form of metal machining setting"
"98ca56e8-f682-46a8-aaea-64f0d93383a9","Digital Manufacturing Engineer","Engineering & Manufacturing","2125","Production and process engineers","medium","Semantic match: smart factory design integrating AI/IoT/robotics is production and process engineering"
"f844bcc4-1dc6-401e-bfc2-a4ae4ad92c6f","Electrical Engineer","Engineering & Manufacturing","2123","Electrical engineers","high","Exact title match"
"f7fb8ac5-7c63-4e98-94e3-adf79b637bec","Maintenance Engineer","Engineering & Manufacturing","5223","Metal working production and maintenance fitters","medium","Semantic match: physical repair and in-situ diagnosis maps to maintenance fitters; title differs"
"5af9e938-436e-4d17-bcb2-7f83a781f948","Manufacturing Technician","Engineering & Manufacturing","3119","Science, engineering and production technicians n.e.c.","medium","Semantic match: manufacturing technician is a production technician; shares SOC with Ag Technician"
"ee08591c-bf52-439c-a1b7-73e017087979","Mechanical Engineer","Engineering & Manufacturing","2122","Mechanical engineers","high","Exact title match"
"c2948f32-77e7-410a-9bc8-26e9c6169c3b","Predictive Maintenance Analyst","Engineering & Manufacturing","2481","Quality control and planning engineers","medium","Semantic match: predicting equipment failure is a planning/quality engineering function"
"5abc98ec-88ab-4245-a8a0-d9da3061e00d","Quality Control Inspector","Engineering & Manufacturing","3115","Quality assurance technicians","medium","Semantic match: quality inspection maps to QA technicians; role shifting to overseeing automated systems"
"ddec8e5c-8bca-4dff-be62-185b6404cac7","Robotics Technician","Engineering & Manufacturing","3113","Engineering technicians","medium","Semantic match: robotics installation and maintenance is an engineering technician role"
"7b7296eb-71fa-4702-b6ee-c3e8ef2917e7","Smart Factory Coordinator","Engineering & Manufacturing","3116","Planning, process and production technicians","medium","Semantic match: coordinating digital/physical factory workflows is a production planning/process role"
"3477d18e-8a20-41bd-b3b8-2cac513abf8b","AI Healthcare Data Analyst","Healthcare & Medicine","3544","Data analysts","medium","Semantic match: data analysis applied to healthcare; shares SOC with other analyst roles"
"f7ab0688-176e-4d4a-8216-540813e42b87","Chief Nursing Information Officer (CNIO)","Healthcare & Medicine","1171","Health services and public health managers and directors","medium","Semantic match: senior nursing leader directing AI/digital integration is health services management"
"5a23c452-71df-4f4d-a75c-7e6abb3dd023","Clinical AI Safety Specialist","Healthcare & Medicine","2482","Quality assurance and regulatory professionals","medium","Semantic match: ensuring AI tools are safe and clinically validated is a regulatory/assurance function"
"61507572-ce66-4a80-96f5-c27b8d7140c6","Clinical Informatician","Healthcare & Medicine","2139","Information technology professionals n.e.c.","medium","Semantic match: translating clinical practice into digital systems is an IT professional role"
"839c1cd3-2c99-43ae-9e48-7f3af7c6aa4f","Digital Medicines Specialist","Healthcare & Medicine","2251","Pharmacists","medium","Semantic match: pharmacy professional overseeing AI-enabled prescribing; specialist pharmacy role"
"47764fc6-985e-4c02-8f61-877aaab678b9","Doctor / GP","Healthcare & Medicine","2211","Generalist medical practitioners","high","Near-exact match: GP is a generalist medical practitioner"
"e6da5b33-b2fc-4d1f-b97e-dd2b46980f5c","Health Data Scientist","Healthcare & Medicine","2119","Natural and social science professionals n.e.c.","medium","Semantic match: health data science is an interdisciplinary science professional role"
"f1a01f52-a69f-4623-b05e-ca723cf703ae","Healthcare Assistant / Care Worker","Healthcare & Medicine","6135","Care workers and home carers","high","Near-exact match: care worker directly in SOC description"
"3871eba8-df22-4bf8-8d20-d3047b94d596","Nurse","Healthcare & Medicine","2237","Other nursing professionals","medium","SOC 2020 disaggregated nursing into 2231-2237. 2237 used as catch-all for generic Nurse role. salary_needs_verification=true. Consider splitting into Adult Nurse, Mental Health Nurse (2235), Children's Nurse (2236), Midwife (2231) in a future session. NHS Scotland Band 5 entry salary may be a better pilot display figure than ASHE 2237 median."
"21ce10ca-767b-4dbb-a559-bedcb68aadac","Pharmacist","Healthcare & Medicine","2251","Pharmacists","high","Exact title match"
"400bef8c-cad5-4c06-a37a-6b47a790b1df","Physiotherapist / Paramedic","Healthcare & Medicine","2221","Physiotherapists","medium","Combined role: average of 2221 (Physiotherapists) and 2255 (Paramedics) salary figures. salary_needs_verification=true. Note: Physiotherapist/Paramedic combined role — consider splitting into separate roles in future session."
"734786c4-c68b-45fb-88af-9aaa308ad8cf","Radiographer","Healthcare & Medicine","2254","Medical radiographers","high","Near-exact match: radiographer maps to medical radiographers"
"5ec417d0-00fd-4605-a803-c33a0cefbf3f","Chef","Hospitality & Tourism","5434","Chefs","high","Exact title match"
"145bdb5b-76dc-4e39-ae81-4da095e2825e","Digital Concierge Manager","Hospitality & Tourism","1221","Hotel and accommodation managers and proprietors","medium","Semantic match: managing AI-powered hotel services is hotel management"
"200cb8fa-8ffa-4fda-bb03-049aa8867945","Events Coordinator","Hospitality & Tourism","3557","Events managers and organisers","high","Near-exact match: events coordination maps directly to events managers and organisers"
"6847c5f5-4117-4851-af03-5692553374ae","Guest Experience Designer","Hospitality & Tourism","1221","Hotel and accommodation managers and proprietors","low","Closest SOC: novel hospitality role designing guest journeys; hotel management is nearest available"
"99cdda29-0b42-498f-8bf6-dce32ca029b0","Hospitality Technology Manager","Hospitality & Tourism","1221","Hotel and accommodation managers and proprietors","medium","Semantic match: overseeing property management and AI systems is hotel management with tech focus"
"e7e33963-7d7a-469e-b006-d648d16b52fc","Hotel Receptionist","Hospitality & Tourism","4216","Receptionists","high","Near-exact match: hotel receptionist is a receptionist"
"ac150b7c-b35e-4341-9f27-4431e940db7a","Restaurant Manager","Hospitality & Tourism","1222","Restaurant and catering establishment managers and proprietors","high","Near-exact match: restaurant manager directly within SOC description"
"25142f25-ebb5-46ba-8b89-743e2748392a","Revenue / Yield Analyst","Hospitality & Tourism","3549","Business associate professionals n.e.c.","medium","Semantic match: revenue management and forecasting is a business associate function"
"2f562008-f53c-4e29-8cfa-72fd5d908c13","Sustainability / Waste Optimisation Specialist","Hospitality & Tourism","2152","Environment professionals","low","Closest SOC: sustainability analytics in hospitality is environmental work but context is hospitality-specific"
"379303a9-24b2-4651-b8b5-b774eb10c440","Waiter / Waitress / Bar Staff","Hospitality & Tourism","9264","Waiters and waitresses","high","Near-exact match: waiter/waitress in SOC description; bar staff also maps to 9265"
"b7ce61ba-c46e-4d03-adf6-c671315c99ef","AI Compliance / Ethics Specialist","Law & Justice","2419","Legal professionals n.e.c.","medium","Semantic match: AI compliance and ethical advisory is a legal professional function"
"ad272595-44aa-44de-8aeb-f86c49fa58b4","Barrister","Law & Justice","2411","Barristers and judges","high","Near-exact match: SOC description explicitly includes barristers"
"98938333-4962-4ec4-83cd-a826a96b630e","Court Clerk","Law & Justice","3520","Legal associate professionals","medium","Semantic match: in-court procedural role is a legal associate professional function"
"bd2dc0da-6119-47ca-88ab-31034840d54a","LawTech Consultant","Law & Justice","2431","Management consultants and business analysts","medium","Semantic match: advising law firms on AI and digital transformation is management consultancy"
"822789d5-d4ef-4faa-a930-c6f640e518b3","Legal AI Product Manager","Law & Justice","2131","IT project managers","medium","Semantic match: leading development of AI-powered legal products; shares SOC with other PM roles"
"a3c57b35-3682-4934-9ce3-9a2c1495dbd9","Legal Data Analyst","Law & Justice","3544","Data analysts","medium","Semantic match: data analysis applied to legal domain; shares SOC with other analyst roles"
"51263265-d83a-4251-8b0d-c0bf46c66dea","Legal Secretary","Law & Justice","4212","Legal secretaries","high","Exact title match"
"7541bdcf-84eb-4790-b80b-03f385eb9633","Legal Technologist","Law & Justice","2139","Information technology professionals n.e.c.","medium","Semantic match: deploying and managing legal technology/AI tools combines legal and IT knowledge"
"c1c92bc7-9a8f-49f4-96c0-e2e402c10c9a","Paralegal","Law & Justice","3520","Legal associate professionals","high","Near-exact match: paralegals are the primary occupation within legal associate professionals"
"190404b9-270a-4f11-b57e-c4e94f55410c","Solicitor (Junior/Trainee)","Law & Justice","2412","Solicitors and lawyers","high","Near-exact match: SOC description explicitly includes solicitors; shares SOC with Senior Solicitor"
"ea05435c-b34f-426b-9c71-c0da585b6124","Solicitor (Senior) / Partner","Law & Justice","2412","Solicitors and lawyers","high","Near-exact match: SOC description explicitly includes solicitors; shares SOC with Junior Solicitor"
"e85eccc7-05ce-44e8-b9d8-e386a2e2394d","AI News Verification Specialist","Media & Communications","2492","Newspaper and periodical journalists and reporters","low","Closest SOC: novel media verification role; journalism is nearest but role is more technical"
"c79fe777-008b-4466-a11b-81fe758b1fc1","Automated Media Monitoring Analyst","Media & Communications","3554","Marketing associate professionals","medium","Semantic match: media monitoring and sentiment analysis is a marketing/comms associate function"
"ec5b5ced-19bf-465e-8016-bdfd8bd566a0","Broadcast Journalist","Media & Communications","2492","Newspaper and periodical journalists and reporters","high","Near-exact match: broadcast journalism falls within the journalist/reporter SOC category"
"5b0ca74a-1592-471c-9894-af9dfd505bb1","Broadcast Technician","Media & Communications","3417","Photographers, audio-visual and broadcasting equipment operators","high","Near-exact match: SOC description explicitly includes broadcasting equipment operators"
"443f6a5b-8550-4f51-9a03-2e21b371267a","Communications Officer","Media & Communications","2493","Public relations professionals","medium","Semantic match: strategic messaging and stakeholder comms is a public relations function"
"62690d24-8cf6-4dd6-b316-3f07aa31ca89","Copywriter","Media & Communications","3412","Authors, writers and translators","medium","Semantic match: copywriting is a writing profession; SOC covers authors and writers broadly"
"0d33ffd4-4542-407d-9165-6fc6e1938248","Public Relations Officer","Media & Communications","2493","Public relations professionals","high","Near-exact match: PR officer maps directly to public relations professionals"
"501d4b66-dfc9-481f-b98d-9a9595cc4e19","Publishing Editor","Media & Communications","2491","Newspaper and periodical editors","high","Near-exact match: publishing editor maps to editors SOC category"
"af13cd79-6c6b-4fe8-bdbe-7f01f19a7e47","Social Media Manager","Media & Communications","3554","Marketing associate professionals","medium","Semantic match: social media strategy and community management is a marketing associate function"
"95179853-4790-45d4-9b50-433d484cdbae","TV / Film Producer","Media & Communications","3416","Arts officers, producers and directors","high","Near-exact match: SOC description explicitly includes producers"
"5aef84cc-c5ba-4039-9d4c-c268bdcac1d3","Actor","Performing Arts & Entertainment","3413","Actors, entertainers and presenters","high","Near-exact match: SOC description explicitly includes actors"
"c054b55b-a064-4625-bfd2-2f6544d486b1","AI Music Production Specialist","Performing Arts & Entertainment","3416","Arts officers, producers and directors","medium","Semantic match: music production is a producer role; SOC covers producers and directors"
"ffaa9572-705a-4ba2-a107-caa460c8ed91","Choreographer","Performing Arts & Entertainment","3414","Dancers and choreographers","high","Near-exact match: SOC description explicitly includes choreographers"
"81dff71b-c0bf-4753-a77d-cef3185a9765","Dancer","Performing Arts & Entertainment","3414","Dancers and choreographers","high","Near-exact match: SOC description explicitly includes dancers; shares SOC with Choreographer"
"72f69926-8c24-42bc-9eba-08dbf0bda03a","Lighting Designer","Performing Arts & Entertainment","3429","Design occupations n.e.c.","medium","Semantic match: lighting design is a design specialism not elsewhere classified"
"56bbda9e-3c3a-4140-8df8-13c9b0885f84","Music Producer","Performing Arts & Entertainment","3416","Arts officers, producers and directors","medium","Semantic match: music production is a producer role; shares SOC with AI Music Production Specialist"
"56cee6b2-d98c-4c10-86ee-84ab28fce095","Musician (Live Performer)","Performing Arts & Entertainment","3415","Musicians","high","Near-exact match: live performing musician maps directly to musicians"
"ce555525-b451-40f6-afca-c88f8c397374","Sound Technician","Performing Arts & Entertainment","3417","Photographers, audio-visual and broadcasting equipment operators","medium","Semantic match: live sound operation is audio-visual equipment work"
"1edca518-79db-49e2-afde-c5cc07ba731b","Stage Manager","Performing Arts & Entertainment","3416","Arts officers, producers and directors","medium","Semantic match: stage management is an arts officer/production management role"
"ba72e58e-d9ca-4400-bee1-47424d2078dc","Theatre Director","Performing Arts & Entertainment","3416","Arts officers, producers and directors","high","Near-exact match: SOC description explicitly includes directors"
"1b44045b-29e1-4ac7-bece-8767acf61986","Virtual Production Technician","Performing Arts & Entertainment","3417","Photographers, audio-visual and broadcasting equipment operators","medium","Semantic match: LED volume and real-time environment operation is AV/broadcasting equipment work"
"60698092-2b21-43ce-b178-03e166706530","Administrative Assistant","Public Services & Government","4159","Other administrative occupations n.e.c.","medium","Semantic match: generic admin assistant maps to the administrative catch-all SOC code"
"ba5ebd4d-750d-4c03-9cc7-44f132891c0d","AI Policy Analyst","Public Services & Government","2439","Business, research and administrative professionals n.e.c.","medium","Semantic match: policy research and analysis is a business/research professional function"
"21659c98-6477-4da4-80cc-a1f205494454","Council Officer / Benefits Officer","Public Services & Government","3560","Public services associate professionals","medium","Semantic match: processing citizen queries and benefits claims is a public services associate role"
"c661da81-b94a-4a61-b067-fb932cf5b5a8","Digital Transformation Manager","Public Services & Government","2132","IT managers","medium","Semantic match: leading digital and AI transformation programmes is IT management"
"6e11576d-fd78-43a2-b7ef-bdaabc6a186f","Government Chief AI Officer","Public Services & Government","1137","Information technology directors","medium","Semantic match: senior public-sector AI leadership is an IT director role Civil Service SCS pay band applies; verify against gov.uk published SCS salaries before pilot."
"6653bd1f-b2a7-4461-bfa7-eaffeaaa9207","HR Administrator","Public Services & Government","4136","Human resources administrative occupations","high","Near-exact match: HR administration directly matches SOC description"
"3fbee72a-01f8-4e21-978a-934fcecab9a1","i.AI Prototyping Specialist","Public Services & Government","2134","Programmers and software development professionals","medium","Semantic match: prototyping AI tools is software development; shares SOC with other dev roles"
"72507b69-9a99-4d28-bab4-612b43fdcaf4","Policy Analyst / Civil Servant (Fast Stream)","Public Services & Government","2439","Business, research and administrative professionals n.e.c.","medium","Semantic match: policy research and analysis; shares SOC with AI Policy Analyst"
"bd1dc7f4-532b-4205-92c4-cb669df799aa","Public Sector AI Adoption Specialist","Public Services & Government","2431","Management consultants and business analysts","medium","Semantic match: helping organisations adopt AI is management consultancy work"
"6a51880f-5d6c-4c6e-a3dc-50283956a8bb","TechTrack Apprentice","Public Services & Government","3131","IT operations technicians","low","Closest SOC: government tech apprenticeship does not map cleanly; IT operations technician is nearest entry-level IT code"
"cbbf7e45-4dfa-4a09-aba2-fc829df1b73e","AI-Assisted Customer Experience Manager","Retail & Customer Service","4143","Customer service managers","medium","Semantic match: customer experience management with AI is a customer service management role"
"8b5c7406-3c38-44f8-a401-a1456d514d41","Chatbot / AI System Trainer","Retail & Customer Service","2139","Information technology professionals n.e.c.","medium","Semantic match: training and monitoring customer-service AI systems is an IT professional function"
"70f04b10-b570-4850-81a5-03316b58b5a0","Customer Service Advisor (Call Centre)","Retail & Customer Service","7211","Call and contact centre occupations","high","Near-exact match: call centre advisor maps directly to call and contact centre occupations"
"4679306e-b13c-4501-ab6c-99cb8623e852","E-commerce Personalisation Specialist","Retail & Customer Service","3554","Marketing associate professionals","medium","Semantic match: AI recommendation and personalisation is a marketing associate function"
"9b370e2e-380d-4dfa-9e8e-4cbff7ea6670","E-commerce Specialist","Retail & Customer Service","3554","Marketing associate professionals","medium","Semantic match: e-commerce strategy and analytics is a marketing associate function"
"cee81768-07ae-4289-a7b7-4f15da639695","Retail Data / AI Analyst","Retail & Customer Service","3544","Data analysts","medium","Semantic match: retail data analysis for pricing/stock/demand; shares SOC with other analyst roles"
